OID_,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,Population,lon,lat,rank
5,6,7,103,1,60070001031,4801,-121.8185734,39.76806549,1
1,6,7,401,1,60070004011,3709,-121.8946984,39.7660795,2
46,6,7,904,2,60070009042,3294,-121.7868008,39.74966368,3
12,6,7,904,1,60070009041,3223,-121.8005338,39.74833587,4
9,6,7,402,1,60070004021,2950,-121.883826,39.75758635,5
116,6,7,1702,3,60070017023,2854,-121.6306615,39.81937585,6
19,6,7,903,3,60070009033,2727,-121.8085152,39.73308119,7
7,6,7,104,2,60070001042,2672,-121.8372448,39.77309919,8
33,6,7,901,1,60070009011,2639,-121.7627504,39.7181099,9
135,6,7,300,2,60070003002,2414,-121.8733331,39.77181721,10
10,6,7,402,2,60070004022,2395,-121.8717687,39.74888146,11
175,6,7,1400,1,60070014001,2222,-121.8810678,39.79480336,12
14,6,7,1703,2,60070017032,2078,-121.6035805,39.82801451,13
58,6,7,2200,1,60070022001,2052,-121.617322,39.74537718,14
63,6,7,2500,3,60070025003,2029,-121.5698399,39.52765702,15
77,6,7,3200,2,60070032002,1838,-121.5227707,39.424477,16
6,6,7,104,1,60070001041,1836,-121.8376329,39.76510294,17
140,6,7,501,4,60070005014,1801,-121.8664855,39.73280361,18
113,6,7,3300,3,60070033003,1768,-121.5858063,39.37706774,19
15,6,7,1704,3,60070017043,1756,-121.5879064,39.84159073,20
180,6,7,1500,3,60070015003,1745,-121.7664528,39.66691892,21
107,6,7,800,4,60070008004,1744,-121.8314498,39.75014265,22
29,6,7,3700,1,60070037001,1741,-121.6194889,39.50358635,23
128,6,7,102,1,60070001021,1731,-121.835067,39.75463808,24
192,6,7,3400,2,60070034002,1731,-121.6532835,39.33177444,25
101,6,7,3600,3,60070036003,1704,-121.7772812,39.45461037,26
114,6,7,2200,2,60070022002,1702,-121.6629604,39.66527334,27
132,6,7,201,4,60070002014,1678,-121.8605895,39.77041976,28
127,6,7,3300,1,60070033001,1675,-121.4860778,39.40248826,29
50,6,7,2602,2,60070026022,1666,-121.4545879,39.5341343,30
179,6,7,1500,2,60070015002,1574,-121.8270331,39.62839865,31
36,6,7,1600,4,60070016004,1567,-121.7596377,39.76056318,32
191,6,7,3400,1,60070034001,1567,-121.6706166,39.37088454,33
146,6,7,601,3,60070006013,1555,-121.8635429,39.74275672,34
176,6,7,1400,2,60070014002,1538,-121.8966663,39.70637856,35
194,6,7,3600,2,60070036002,1535,-121.7225455,39.41035189,36
35,6,7,903,4,60070009034,1527,-121.7950308,39.73346186,37
89,6,7,2900,2,60070029002,1526,-121.6085503,39.51655724,38
